DATE,RMFSL
2000-01-01,839.3
2000-02-01,847.5
2000-03-01,861.0
2000-04-01,882.1
2000-05-01,878.6
2000-06-01,878.8
2000-07-01,871.6
2000-08-01,880.8
2000-09-01,890.1
2000-10-01,894.3
2000-11-01,897.0
2000-12-01,910.7
2001-01-01,927.6
2001-02-01,930.1
2001-03-01,945.0
2001-04-01,967.1
2001-05-01,945.5
2001-06-01,949.4
2001-07-01,951.1
2001-08-01,944.2
2001-09-01,954.9
2001-10-01,962.6
2001-11-01,962.8
2001-12-01,963.6
2002-01-01,952.1
2002-02-01,945.0
2002-03-01,930.6
2002-04-01,921.3
2002-05-01,912.7
2002-06-01,908.5
2002-07-01,917.6
2002-08-01,913.4
2002-09-01,901.0
2002-10-01,898.4
2002-11-01,895.8
2002-12-01,885.4
2003-01-01,876.9
2003-02-01,873.2
2003-03-01,867.3
2003-04-01,863.4
2003-05-01,857.8
2003-06-01,853.2
2003-07-01,844.7
2003-08-01,841.1
2003-09-01,831.7
2003-10-01,809.1
2003-11-01,796.1
2003-12-01,783.1
2004-01-01,767.9
2004-02-01,758.2
2004-03-01,747.6
2004-04-01,741.7
2004-05-01,744.8
2004-06-01,739.0
2004-07-01,729.4
2004-08-01,723.6
2004-09-01,718.4
2004-10-01,711.6
2004-11-01,707.6
2004-12-01,706.5
2005-01-01,703.3
2005-02-01,700.4
2005-03-01,693.7
2005-04-01,698.9
2005-05-01,699.2
2005-06-01,696.2
2005-07-01,696.0
2005-08-01,694.2
2005-09-01,700.5
2005-10-01,706.8
2005-11-01,710.5
2005-12-01,710.4
2006-01-01,715.0
2006-02-01,716.8
2006-03-01,718.4
2006-04-01,726.3
2006-05-01,732.0
2006-06-01,747.0
2006-07-01,757.6
2006-08-01,767.0
2006-09-01,776.1
2006-10-01,787.3
2006-11-01,797.5
2006-12-01,804.4
2007-01-01,814.8
2007-02-01,820.6
2007-03-01,829.2
2007-04-01,841.0
2007-05-01,848.0
2007-06-01,862.7
2007-07-01,875.3
2007-08-01,898.7
2007-09-01,907.4
2007-10-01,915.6
2007-11-01,934.2
2007-12-01,954.4
2008-01-01,973.8
2008-02-01,1011.2
2008-03-01,1021.4
2008-04-01,1046.7
2008-05-01,1034.1
2008-06-01,1026.2
2008-07-01,1029.6
2008-08-01,1025.9
2008-09-01,1014.3
2008-10-01,1044.3
2008-11-01,1039.0
2008-12-01,1042.6
2009-01-01,1036.9
2009-02-01,1021.5
2009-03-01,1017.5
2009-04-01,1002.9
2009-05-01,980.0
2009-06-01,951.1
2009-07-01,927.4
2009-08-01,901.2
2009-09-01,875.3
2009-10-01,845.0
2009-11-01,825.3
2009-12-01,801.4
2010-01-01,782.0
2010-02-01,774.7
2010-03-01,754.2
2010-04-01,742.9
2010-05-01,741.1
2010-06-01,742.8
2010-07-01,736.6
2010-08-01,726.9
2010-09-01,717.8
2010-10-01,709.6
2010-11-01,704.5
2010-12-01,697.5
2011-01-01,691.2
2011-02-01,692.0
2011-03-01,692.3
2011-04-01,688.5
2011-05-01,686.6
2011-06-01,688.7
2011-07-01,690.1
2011-08-01,699.4
2011-09-01,694.3
2011-10-01,693.1
2011-11-01,690.0
2011-12-01,683.2
2012-01-01,677.6
2012-02-01,672.4
2012-03-01,669.9
2012-04-01,667.9
2012-05-01,663.3
2012-06-01,660.8
2012-07-01,655.7
2012-08-01,653.2
2012-09-01,650.8
2012-10-01,648.3
2012-11-01,655.2
2012-12-01,664.1
2013-01-01,673.2
2013-02-01,662.8
2013-03-01,665.0
2013-04-01,663.2
2013-05-01,656.8
2013-06-01,670.8
2013-07-01,678.2
2013-08-01,674.4
2013-09-01,675.6
2013-10-01,674.7
2013-11-01,666.8
2013-12-01,662.1
2014-01-01,656.7
2014-02-01,658.8
2014-03-01,656.9
2014-04-01,658.1
2014-05-01,658.0
2014-06-01,654.7
2014-07-01,649.0
2014-08-01,653.7
2014-09-01,648.3
2014-10-01,653.3
2014-11-01,648.2
2014-12-01,641.3
2015-01-01,639.5
2015-02-01,635.8
2015-03-01,633.9
2015-04-01,633.1
2015-05-01,626.9
2015-06-01,630.6
2015-07-01,633.1
2015-08-01,637.2
2015-09-01,645.5
2015-10-01,644.4
2015-11-01,647.4
2015-12-01,662.1
2016-01-01,740.7
2016-02-01,751.8
2016-03-01,738.4
2016-04-01,730.4
2016-05-01,726.0
2016-06-01,717.4
2016-07-01,709.3
2016-08-01,692.1
2016-09-01,672.3
2016-10-01,678.7
2016-11-01,699.6
2016-12-01,697.6
2017-01-01,692.8
2017-02-01,691.4
2017-03-01,697.0
2017-04-01,702.8
2017-05-01,700.5
2017-06-01,699.2
2017-07-01,700.2
2017-08-01,707.1
2017-09-01,709.0
2017-10-01,708.6
2017-11-01,709.1
2017-12-01,711.7
2018-01-01,710.5
2018-02-01,721.3
2018-03-01,725.2
2018-04-01,735.0
2018-05-01,754.8
2018-06-01,763.6
2018-07-01,770.4
2018-08-01,778.6
2018-09-01,787.1
2018-10-01,795.8
2018-11-01,807.4
2018-12-01,819.5
2019-01-01,857.9
2019-02-01,865.9
2019-03-01,879.6
2019-04-01,892.3
2019-05-01,899.1
2019-06-01,911.4
2019-07-01,931.0
2019-08-01,946.2
2019-09-01,962.6
2019-10-01,983.5
2019-11-01,996.5
2019-12-01,989.2
2020-01-01,987.9
2020-02-01,988.8
2020-03-01,1032.1
2020-04-01,1109.3
2020-05-01,1148.4
2020-06-01,1146.0
2020-07-01,1128.0
2020-08-01,1112.1
2020-09-01,1094.9
2020-10-01,1084.7
2020-11-01,1091.9
2020-12-01,1067.8
2021-01-01,1063.0
2021-02-01,1068.2
2021-03-01,1055.6
2021-04-01,1049.0
2021-05-01,1042.4
2021-06-01,1034.3
2021-07-01,1033.1
2021-08-01,1031.2
2021-09-01,1031.2
2021-10-01,1027.2
2021-11-01,1021.5
2021-12-01,1019.1
2022-01-01,1035.3
