DATE,STDSL
2000-01-01,963.2
2000-02-01,971.9
2000-03-01,980.1
2000-04-01,988.9
2000-05-01,993.5
2000-06-01,1004.1
2000-07-01,1014.2
2000-08-01,1023.2
2000-09-01,1029.3
2000-10-01,1034.8
2000-11-01,1040.1
2000-12-01,1046.0
2001-01-01,1051.8
2001-02-01,1052.2
2001-03-01,1048.8
2001-04-01,1044.1
2001-05-01,1039.3
2001-06-01,1031.1
2001-07-01,1022.9
2001-08-01,1016.1
2001-09-01,1010.0
2001-10-01,1001.0
2001-11-01,988.2
2001-12-01,974.5
2002-01-01,960.8
2002-02-01,949.8
2002-03-01,940.5
2002-04-01,932.6
2002-05-01,927.8
2002-06-01,924.2
2002-07-01,920.6
2002-08-01,915.7
2002-09-01,908.1
2002-10-01,902.8
2002-11-01,899.4
2002-12-01,894.8
2003-01-01,888.5
2003-02-01,882.2
2003-03-01,877.4
2003-04-01,872.3
2003-05-01,865.4
2003-06-01,858.3
2003-07-01,847.4
2003-08-01,836.7
2003-09-01,829.6
2003-10-01,824.3
2003-11-01,820.4
2003-12-01,818.4
2004-01-01,815.7
2004-02-01,813.5
2004-03-01,811.4
2004-04-01,808.6
2004-05-01,805.5
2004-06-01,804.9
2004-07-01,805.7
2004-08-01,807.9
2004-09-01,810.5
2004-10-01,815.2
2004-11-01,820.9
2004-12-01,828.7
2005-01-01,840.4
2005-02-01,853.5
2005-03-01,868.1
2005-04-01,884.5
2005-05-01,902.9
2005-06-01,919.2
2005-07-01,933.8
2005-08-01,948.5
2005-09-01,959.9
2005-10-01,968.4
2005-11-01,980.4
2005-12-01,993.7
2006-01-01,1007.4
2006-02-01,1025.0
2006-03-01,1043.7
2006-04-01,1063.3
2006-05-01,1084.3
2006-06-01,1104.6
2006-07-01,1128.9
2006-08-01,1152.3
2006-09-01,1170.1
2006-10-01,1186.2
2006-11-01,1196.7
2006-12-01,1205.8
2007-01-01,1213.2
2007-02-01,1223.1
2007-03-01,1232.3
2007-04-01,1242.6
2007-05-01,1247.8
2007-06-01,1248.7
2007-07-01,1251.3
2007-08-01,1256.1
2007-09-01,1265.9
2007-10-01,1270.8
2007-11-01,1272.7
2007-12-01,1275.7
2008-01-01,1282.7
2008-02-01,1286.6
2008-03-01,1279.5
2008-04-01,1278.5
2008-05-01,1277.4
2008-06-01,1274.3
2008-07-01,1285.3
2008-08-01,1313.1
2008-09-01,1337.8
2008-10-01,1399.3
2008-11-01,1433.9
2008-12-01,1457.4
2009-01-01,1448.8
2009-02-01,1436.3
2009-03-01,1423.8
2009-04-01,1403.4
2009-05-01,1386.7
2009-06-01,1363.1
2009-07-01,1335.3
2009-08-01,1306.8
2009-09-01,1274.4
2009-10-01,1240.3
2009-11-01,1215.1
2009-12-01,1188.6
2010-01-01,1159.6
2010-02-01,1138.7
2010-03-01,1117.9
2010-04-01,1098.1
2010-05-01,1078.1
2010-06-01,1059.9
2010-07-01,1042.9
2010-08-01,1026.3
2010-09-01,1004.2
2010-10-01,980.2
2010-11-01,956.5
2010-12-01,934.2
2011-01-01,916.1
2011-02-01,901.3
2011-03-01,885.8
2011-04-01,871.9
2011-05-01,858.8
2011-06-01,846.7
2011-07-01,833.0
2011-08-01,819.6
2011-09-01,806.8
2011-10-01,795.3
2011-11-01,786.2
2011-12-01,778.7
2012-01-01,767.5
2012-02-01,754.9
2012-03-01,738.7
2012-04-01,726.4
2012-05-01,715.6
2012-06-01,709.1
2012-07-01,698.2
2012-08-01,691.0
2012-09-01,682.2
2012-10-01,670.2
2012-11-01,658.5
2012-12-01,647.7
2013-01-01,637.2
2013-02-01,627.9
2013-03-01,623.7
2013-04-01,616.6
2013-05-01,607.2
2013-06-01,595.3
2013-07-01,584.3
2013-08-01,580.9
2013-09-01,575.8
2013-10-01,572.3
2013-11-01,569.0
2013-12-01,570.7
2014-01-01,561.2
2014-02-01,557.4
2014-03-01,552.7
2014-04-01,548.7
2014-05-01,546.4
2014-06-01,544.2
2014-07-01,541.7
2014-08-01,539.3
2014-09-01,535.0
2014-10-01,532.1
2014-11-01,526.8
2014-12-01,523.2
2015-01-01,517.9
2015-02-01,513.9
2015-03-01,503.4
2015-04-01,494.1
2015-05-01,484.3
2015-06-01,475.2
2015-07-01,464.1
2015-08-01,454.1
2015-09-01,440.2
2015-10-01,434.8
2015-11-01,430.0
2015-12-01,425.5
2016-01-01,421.2
2016-02-01,416.6
2016-03-01,410.8
2016-04-01,405.1
2016-05-01,400.5
2016-06-01,395.7
2016-07-01,391.8
2016-08-01,386.2
2016-09-01,380.8
2016-10-01,376.8
2016-11-01,373.0
2016-12-01,368.8
2017-01-01,366.6
2017-02-01,367.8
2017-03-01,369.3
2017-04-01,373.6
2017-05-01,378.4
2017-06-01,384.1
2017-07-01,391.3
2017-08-01,400.2
2017-09-01,410.9
2017-10-01,420.0
2017-11-01,426.7
2017-12-01,433.8
2018-01-01,439.7
2018-02-01,445.5
2018-03-01,453.6
2018-04-01,464.0
2018-05-01,474.5
2018-06-01,485.1
2018-07-01,496.2
2018-08-01,507.5
2018-09-01,518.9
2018-10-01,528.9
2018-11-01,543.4
2018-12-01,556.8
2019-01-01,577.3
2019-02-01,600.0
2019-03-01,616.6
2019-04-01,625.4
2019-05-01,622.6
2019-06-01,627.0
2019-07-01,626.9
2019-08-01,626.8
2019-09-01,621.5
2019-10-01,617.8
2019-11-01,614.9
2019-12-01,607.1
2020-01-01,589.3
2020-02-01,558.6
2020-03-01,522.2
2020-04-01,500.2
2020-05-01,475.2
2020-06-01,443.6
2020-07-01,410.7
2020-08-01,376.0
2020-09-01,345.4
2020-10-01,313.6
2020-11-01,279.9
2020-12-01,252.6
2021-01-01,233.8
2021-02-01,213.8
2021-03-01,194.9
2021-04-01,175.0
2021-05-01,160.8
2021-06-01,151.4
2021-07-01,141.1
2021-08-01,128.4
2021-09-01,116.9
2021-10-01,108.4
2021-11-01,102.1
2021-12-01,94.4
2022-01-01,89.1
